product_type,sku,price,availability,number_of_products_sold,revenue_generated,customer_demographics,stock_levels,lead_times,order_quantities,shipping_times,shipping_carriers,shipping_costs,supplier_name,location,latitude,longitude,lead_time,production_volumes,manufacturing_lead_time,manufacturing_costs,inspection_results,defect_rates,transportation_modes,routes,costs,net_profit,date
haircare,SKU18,12.0898323620227,39,555,7574.631886,Male,37,10,19,2,Carrier B,10.5514388346918,Supplier 4,Miami,25.7617,-80.1918,27,238,24,79.20612466,Fail,3.78012056291044,Sea,Route A,834.584495754487,6660.841265585514,2018-01-19
skincare,SKU19,79.3561238706941,98,833,1362.92715748855,Unknown,4,23,56,6,Carrier C,10.4676804996794,Supplier 5,New York,40.7128,-74.006,8,298,8,47.0830279555414,Pass,0.991475912601398,Sea,Route B,361.43558134899,954.4085481840185,2018-01-20
cosmetics,SKU20,30.6004580111987,94,655,18038.9699976016,Male,100,29,50,4,Carrier A,8.09713590260417,Supplier 5,Los Angeles,34.0522,-118.2437,28,820,1,91.8447024727662,Pending,4.37350280747798,Sea,Route C,337.143470230578,17609.98182489826,2018-01-21
cosmetics,SKU21,35.5128892689887,6,296,9460.63370125859,Female,3,6,73,3,Carrier C,4.88526306766976,Supplier 3,Houston,29.7604,-95.3698,20,884,3,89.458224741605,Pending,2.79435646780162,Air,Route B,974.30958562553,8396.865890891455,2018-01-22
haircare,SKU22,70.7037152790853,81,568,2376.48867827883,Unknown,1,18,51,6,Carrier A,9.75132382,Supplier 2,Houston,29.7604,-95.3698,15,460,29,50.203165414978,Fail,0.230056788157073,Rail,Route A,954.839530461383,1371.445982402469,2018-01-23
skincare,SKU23,63.7149090572826,89,803,1620.91007839413,Non-binary,11,25,52,10,Carrier A,14.465081053357,Supplier 1,Miami,25.7617,-80.1918,8,749,22,93.4892319279155,Pending,4.45416258233571,Road,Route A,892.464553675743,634.9562927904716,2018-01-24
skincare,SKU24,65.153014471279,69,929,9962.22131001926,Male,2,29,18,9,Carrier B,12.6752895832483,Supplier 2,New York,40.7128,-74.006,14,509,6,36.9156788395012,Pass,1.74502992177836,Sea,Route B,292.932187217445,9632.373443962315,2018-01-25
haircare,SKU25,26.7449874604282,69,145,3599.2897295868,Unknown,69,11,23,2,Carrier B,2.52275524175287,Supplier 2,Houston,29.7604,-95.3698,13,745,1,46.0563633913755,Pass,1.71078276905013,Sea,Route A,628.92008537237,2924.313280823055,2018-01-26
skincare,SKU26,27.1013261634546,20,819,2343.41211402322,Unknown,4,28,100,10,Carrier B,1.3246236222117,Supplier 1,New York,40.7128,-74.006,23,948,18,45.6655020460715,Pass,3.21643968579936,Sea,Route A,581.5450803,1716.201531677149,2018-01-27
haircare,SKU27,25.9762498296357,64,429,3168.96632196326,Male,20,8,13,10,Carrier C,7.98559899618608,Supplier 5,Miami,25.7617,-80.1918,8,627,10,59.1470949083179,Pass,3.30655471399287,Air,Route B,282.797637151553,2827.021589903389,2018-01-28
cosmetics,SKU28,28.2471159324962,16,318,8084.32457988043,Female,60,10,11,10,Carrier C,11.8616109240063,Supplier 2,Chicago,41.8781,-87.6298,17,714,23,93.7585507467598,Pass,1.76658060414207,Air,Route C,503.00935382502,7487.55667530865,2018-01-29
skincare,SKU29,67.2937488933573,51,188,5681.44200721956,Female,34,23,94,5,Carrier B,5.3946357443409,Supplier 4,Miami,25.7617,-80.1918,27,342,17,32.3312526138041,Pending,4.25259221207148,Road,Route B,518.631269903986,5130.47948470177,2018-01-30
skincare,SKU30,85.5615090986931,37,668,4283.36286677071,Female,47,28,10,6,Carrier B,10.8173358906591,Supplier 4,Miami,25.7617,-80.1918,29,189,26,81.4225825375406,Fail,4.49562422847173,Sea,Route B,316.560374831295,3885.379909401874,2018-01-31
haircare,SKU31,73.8101596192828,73,717,8860.52312118297,Female,14,11,84,4,Carrier A,14.0468976993433,Supplier 3,Miami,25.7617,-80.1918,6,615,21,54.6873359209113,Pass,3.1258958233762,Sea,Route C,959.392738344328,7846.443046917731,2018-02-01
haircare,SKU32,80.24889521,69,132,4554.91243494129,Male,70,3,74,7,Carrier C,7.42578309708536,Supplier 3,Chicago,41.8781,-87.6298,17,161,1,10.6339198166926,Pass,4.30111182529486,Sea,Route A,543.443492477452,4000.835022647145,2018-02-02
haircare,SKU33,43.4558507630939,42,291,4015.07712961926,Non-binary,14,15,55,2,Carrier A,4.4182351872287,Supplier 1,Houston,29.7604,-95.3698,4,311,22,63.2206569985012,Pass,2.42219993682532,Air,Route C,572.402677276302,3379.453795344457,2018-02-03
haircare,SKU34,67.1372005603398,57,827,2865.542703,Unknown,5,8,68,7,Carrier C,13.8486100691234,Supplier 1,Los Angeles,34.0522,-118.2437,25,347,23,81.8253497376222,Fail,3.2284803978411,Road,Route B,638.721002921943,2144.996350340435,2018-02-04
cosmetics,SKU35,36.8650853260768,66,257,8526.894236,Unknown,80,20,84,2,Carrier B,7.611695496052,Supplier 3,Miami,25.7617,-80.1918,7,803,8,90.5974698339865,Pass,0.272044139079375,Rail,Route C,898.257195152955,7538.039571013059,2018-02-05
haircare,SKU36,54.92293909,9,782,3850.15920415233,Unknown,67,18,16,1,Carrier C,6.709750293,Supplier 2,Los Angeles,34.0522,-118.2437,17,596,29,13.4083908425733,Pass,4.472614501,Air,Route A,579.978715830535,3256.772097479222,2018-02-06
skincare,SKU37,50.7553104208119,100,704,7095.73563368326,Male,21,27,75,5,Carrier C,5.94706200157293,Supplier 5,Chicago,41.8781,-87.6298,29,155,12,82.646079008565,Pending,1.63607906603351,Sea,Route C,586.8691881,6426.220366574695,2018-02-07
skincare,SKU38,21.8042787886661,86,390,3606.24434203654,Non-binary,31,21,24,2,Carrier A,6.92223733414338,Supplier 4,Miami,25.7617,-80.1918,29,558,19,97.8649044374464,Fail,4.54685086463156,Road,Route C,316.174001583582,3192.205436015512,2018-02-08
cosmetics,SKU39,23.0070880016061,64,234,4845.29273313825,Non-binary,21,1,81,8,Carrier B,10.431209958553,Supplier 1,New York,40.7128,-74.006,22,388,14,84.01209704,Fail,4.5802581565662,Road,Route B,642.535472208853,4118.745163889397,2018-02-09
cosmetics,SKU40,36.4006734613158,86,275,9009.16668167566,Unknown,26,29,56,8,Carrier B,7.07207478108215,Supplier 3,Los Angeles,34.0522,-118.2437,22,642,30,87.3350697215552,Fail,4.05262892182343,Rail,Route C,443.034578428782,8478.797033525323,2018-02-10
cosmetics,SKU41,29.5200057271804,22,775,20590.2039947083,Female,14,24,99,1,Carrier B,5.53913443982908,Supplier 4,Miami,25.7617,-80.1918,25,569,19,85.0873439963894,Pending,4.29916701525407,Sea,Route B,682.1033463,19823.01330441191,2018-02-11
cosmetics,SKU42,34.9200734547847,34,815,25613.8738790846,Unknown,43,30,49,4,Carrier A,11.410927317836,Supplier 1,Chicago,41.8781,-87.6298,18,488,27,85.9264659387175,Pass,3.51803914035042,Air,Route A,370.671720876234,25157.27569226965,2018-02-12
cosmetics,SKU43,24.8084427469555,55,419,9355.26375987694,Unknown,85,8,51,9,Carrier A,3.84159997834154,Supplier 1,Los Angeles,34.0522,-118.2437,6,520,17,92.91399728,Pass,4.60452557982488,Air,Route C,744.155532765423,8518.194229831517,2018-02-13
haircare,SKU44,80.082084906714,29,202,4395.26787144125,Non-binary,91,3,60,5,Carrier A,3.82707214497243,Supplier 2,Houston,29.7604,-95.3698,30,612,28,90.12198812,Fail,4.06046590073397,Air,Route C,657.012506010573,3648.133377310677,2018-02-14
skincare,SKU45,60.3040818290973,38,327,6976.6670907985,Male,8,1,44,10,Carrier C,10.7500975116853,Supplier 1,Chicago,41.8781,-87.6298,10,809,16,80.72497225,Pass,3.04929530268578,Sea,Route B,527.035575273549,6368.906543274951,2018-02-15
cosmetics,SKU46,29.72314014435,97,60,1605.0495677949,Non-binary,33,20,50,6,Carrier C,13.1338914226526,Supplier 5,New York,40.7128,-74.006,18,656,19,81.0171703257809,Pass,3.29351353104813,Sea,Route B,187.005190357919,1337.0272071112,2018-02-16
skincare,SKU47,23.0210105765943,18,905,2143.30218375908,Unknown,0,30,94,3,Carrier A,4.37695175295981,Supplier 1,New York,40.7128,-74.006,24,658,5,15.8898252092548,Pass,0.736342120826059,Sea,Route A,664.271345135115,1463.14101341471,2018-02-17
haircare,SKU48,63.8000783357335,71,207,1526.82940072045,Female,72,16,66,5,Carrier A,3.67574964967001,Supplier 5,New York,40.7128,-74.006,7,833,22,57.3170144606689,Pass,2.35083839885299,Air,Route B,873.351062725025,596.161323534756,2018-02-18
haircare,SKU49,35.73253751659,65,787,3748.72148688476,Female,14,9,47,1,Carrier B,10.3842823380705,Supplier 2,Los Angeles,34.0522,-118.2437,14,897,19,21.6657117860421,Pending,1.50498823841833,Sea,Route B,253.966956386653,3473.088818712065,2018-02-19
skincare,SKU50,84.2588197657029,97,625,2418.94924117217,Male,61,17,81,8,Carrier C,9.69123530482413,Supplier 5,Chicago,41.8781,-87.6298,22,180,4,51.4930815241436,Pass,2.15985317249958,Sea,Route A,176.247518794854,2191.208640853172,2018-02-20
haircare,SKU51,64.7833865710199,1,632,2566.09403214511,Male,44,27,17,6,Carrier C,7.26153285127457,Supplier 4,Miami,25.7617,-80.1918,26,543,5,95.916726870802,Pending,4.28269856272384,Sea,Route B,135.611905169625,2334.565400104683,2018-02-21
cosmetics,SKU52,34.6558455676236,88,608,18963.6786946036,Male,83,16,83,2,Carrier B,2.34204895787659,Supplier 1,Chicago,41.8781,-87.6298,10,891,5,75.2618958912574,Fail,0.745755468,Rail,Route B,128.636864028059,18759.77993468428,2018-02-22
skincare,SKU53,11.1385845851881,4,142,1142.54263850386,Unknown,71,23,72,4,Carrier B,2.28499603374622,Supplier 3,Los Angeles,34.0522,-118.2437,22,386,25,54.0021442434166,Fail,0.086879818,Rail,Route B,857.862256040318,230.6782382201253,2018-02-23
haircare,SKU54,54.3950023419368,4,426,6020.291132,Unknown,57,6,96,4,Carrier B,11.8827850466209,Supplier 3,Houston,29.7604,-95.3698,25,383,24,44.5833667061262,Fail,1.98462201616364,Sea,Route B,754.853446431061,5220.854318862813,2018-02-24
cosmetics,SKU55,29.6751041991546,82,819,21873.5193051968,Male,91,30,13,9,Carrier A,7.32476764353959,Supplier 5,Houston,29.7604,-95.3698,9,590,1,88.9129360032686,Pass,1.61092157244028,Sea,Route A,282.068501416242,21502.53786777729,2018-02-25
haircare,SKU56,30.2558579821597,27,61,5558.94999917692,Female,18,23,57,9,Carrier A,13.0115392773818,Supplier 2,Houston,29.7604,-95.3698,26,487,18,27.4460437586402,Pass,2.10216029850853,Air,Route A,925.405776834531,4606.098178583748,2018-02-26
skincare,SKU57,66.3785617289382,43,566,6065.47213493142,Female,15,7,61,5,Carrier A,9.04627112154407,Supplier 5,Los Angeles,34.0522,-118.2437,10,800,28,33.39453611,Pending,4.6561046018449,Road,Route B,221.80583260755,5810.27176621387,2018-02-27
haircare,SKU58,52.4367143229687,59,75,3820.3092501155,Unknown,74,24,47,3,Carrier A,9.66233397704685,Supplier 5,New York,40.7128,-74.006,2,650,15,87.2891066227609,Pass,3.53542050607421,Sea,Route C,436.7464631,3296.273680392739,2018-02-28
skincare,SKU59,30.2718314105111,32,915,3655.97974165856,Unknown,7,16,96,1,Carrier A,14.0787221867197,Supplier 5,Los Angeles,34.0522,-118.2437,3,694,21,83.0202601474304,Pass,1.6372938729958,Air,Route A,506.897474292859,3066.062007218271,2018-03-01
cosmetics,SKU60,29.16204264,33,918,24093.6796309997,Non-binary,32,8,14,6,Carrier C,3.30462251655213,Supplier 4,Miami,25.7617,-80.1918,30,507,28,78.6202736447156,Fail,4.21221669312421,Air,Route C,168.306176552019,23846.75318080297,2018-03-02
haircare,SKU61,17.0839774553077,28,598,8841.49289309041,Female,73,10,94,8,Carrier C,8.60233921015794,Supplier 4,Miami,25.7617,-80.1918,28,426,19,79.3827648386106,Fail,3.86789782114703,Road,Route B,412.72678167585,8349.383346575949,2018-03-03
haircare,SKU62,87.1427372533396,55,376,2733.23469212675,Female,17,14,79,1,Carrier C,1.81394039952448,Supplier 5,Chicago,41.8781,-87.6298,23,275,23,51.3493744115421,Pass,3.28788125754751,Air,Route B,191.692627167423,2490.192690547785,2018-03-04
haircare,SKU63,28.1304069984623,100,621,1878.56884481634,Female,34,11,90,1,Carrier B,6.02495067034966,Supplier 2,Los Angeles,34.0522,-118.2437,11,620,14,75.6001695278987,Pass,2.41811341938917,Road,Route A,810.796951677986,992.1717236104553,2018-03-05
haircare,SKU64,66.91251155,60,604,9080.16225752823,Male,42,2,98,7,Carrier C,3.07337899721687,Supplier 1,Miami,25.7617,-80.1918,10,889,27,44.84843361,Pass,1.0638038731108,Sea,Route C,142.145297839848,8893.168526078383,2018-03-06
skincare,SKU65,82.01516316,70,518,4149.05917282658,Unknown,49,12,33,7,Carrier B,3.62970347198398,Supplier 3,Miami,25.7617,-80.1918,12,482,6,19.0638622170532,Pass,0.142776304182651,Rail,Route A,115.42291307939,4014.572397530137,2018-03-07
haircare,SKU66,63.3377245625499,62,876,5961.85651596532,Male,2,28,95,2,Carrier C,14.0871260808473,Supplier 4,Miami,25.7617,-80.1918,26,357,18,45.4037177484003,Fail,4.48136424749595,Road,Route A,759.248814957565,5157.203983259355,2018-03-08
skincare,SKU67,86.6586970064598,80,815,4235.88830068003,Male,1,24,86,3,Carrier A,9.54955539486833,Supplier 1,New York,40.7128,-74.006,14,446,8,24.2796739805137,Pass,2.285852496,Sea,Route A,802.763484671552,3408.845142027964,2018-03-09
skincare,SKU68,42.277403545205,34,998,2132.22102711446,Non-binary,58,20,26,2,Carrier C,13.49021386,Supplier 4,Miami,25.7617,-80.1918,27,371,5,45.1766512569258,Fail,4.48554378369126,Sea,Route B,546.067011363643,1540.977364493891,2018-03-10
cosmetics,SKU69,36.2132223707069,87,47,1531.8193062809,Male,27,20,87,6,Carrier A,7.20928258147049,Supplier 4,Miami,25.7617,-80.1918,28,360,22,78.0846483258253,Pending,3.88370751356075,Rail,Route C,386.08533015723,1067.649327797845,2018-03-11
skincare,SKU70,17.6487753969192,88,670,5726.26766592666,Non-binary,45,13,99,8,Carrier A,9.36700685328736,Supplier 4,Miami,25.7617,-80.1918,25,495,8,63.9244600361132,Fail,4.5508535340794,Air,Route B,312.807816266644,5349.535389623903,2018-03-12
cosmetics,SKU71,23.2469804141875,56,843,17637.4840402441,Male,63,15,92,8,Carrier C,1.44932317070096,Supplier 5,Miami,25.7617,-80.1918,13,791,29,94.849524162053,Pending,3.98062027341763,Road,Route B,205.325109844242,17337.3094062378,2018-03-13
skincare,SKU72,67.5757538897071,13,938,5066.821402,Female,69,27,35,1,Carrier C,7.57303125184067,Supplier 5,Houston,29.7604,-95.3698,30,253,6,73.503069704126,Pass,4.96676411775576,Road,Route B,535.8071525,4457.511179795873,2018-03-14
skincare,SKU73,94.5689584342598,56,610,8172.52753614081,Unknown,46,26,12,9,Carrier A,8.89679342681303,Supplier 4,Miami,25.7617,-80.1918,26,626,10,56.0932012942884,Fail,4.78700799685408,Air,Route A,541.980218760846,7574.454116085676,2018-03-15
cosmetics,SKU74,29.5020337167421,18,814,21613.1899008853,Male,13,12,11,8,Carrier B,1.23488799971762,Supplier 4,Miami,25.7617,-80.1918,27,166,3,80.3355051292367,Fail,4.39206409945356,Rail,Route B,510.36467608293,21022.48971967313,2018-03-16
haircare,SKU75,12.2596016466148,54,137,1872.25594360295,Non-binary,6,13,11,9,Carrier B,12.0528484755309,Supplier 3,New York,40.7128,-74.006,1,940,13,18.1922891815348,Pending,4.54768250774915,Road,Route B,800.436338963457,1053.627315457958,2018-03-17
cosmetics,SKU76,36.4474916581297,77,399,13088.2942544343,Unknown,73,8,31,9,Carrier C,5.13592177987247,Supplier 1,New York,40.7128,-74.006,27,798,7,79.07535519,Pass,1.69072064208454,Road,Route B,189.799174203026,12819.41972504127,2018-03-18
haircare,SKU77,93.3802940595932,43,69,5494.617736305911,Non-binary,78,16,80,6,Carrier A,7.33481904945078,Supplier 1,Miami,25.7617,-80.1918,15,447,30,70.5157189813035,Pending,0.056026965,Air,Route B,703.009021599889,4721.092995724718,2018-03-19
skincare,SKU78,29.0405511160745,39,294,8134.33065202676,Female,30,30,13,3,Carrier B,8.49882399426754,Supplier 2,Los Angeles,34.0522,-118.2437,7,162,4,95.556389267143,Pending,4.93488635837849,Sea,Route B,461.41059060999,7577.363672149627,2018-03-20
haircare,SKU79,79.2111902597573,61,380,6662.0582077084,Male,92,29,47,1,Carrier C,14.890760143798,Supplier 2,New York,40.7128,-74.006,11,455,13,43.4396680339287,Pass,2.45234038835511,Rail,Route B,316.854897872007,6301.763641802464,2018-03-21
haircare,SKU81,52.0679498287932,81,471,7391.55939931144,Female,50,3,79,10,Carrier A,8.77391387114297,Supplier 5,Chicago,41.8781,-87.6298,5,140,16,25.515409979229,Pending,4.06245568804647,Sea,Route A,277.910109,7088.133880332211,2018-03-22
cosmetics,SKU82,36.9050697470566,79,902,29959.5356206606,Male,28,28,82,3,Carrier B,8.428318041,Supplier 5,Los Angeles,34.0522,-118.2437,9,639,22,78.8196655342582,Pass,1.98758338540014,Air,Route B,307.825294224336,29572.89066090201,2018-03-23
cosmetics,SKU83,22.3654689605104,18,217,4367.97608798768,Male,14,29,61,7,Carrier C,1.96473573844455,Supplier 3,Chicago,41.8781,-87.6298,26,466,27,83.2470708014484,Pass,2.70636523361159,Road,Route A,998.691088372466,3286.037928813766,2018-03-24
cosmetics,SKU84,37.00305828,23,152,5062.01837327401,Non-binary,89,13,40,10,Carrier B,9.87513704273174,Supplier 5,Houston,29.7604,-95.3698,16,376,21,83.1883565254086,Pass,2.69957763031338,Air,Route C,899.801853487085,4079.028163261516,2018-03-25
haircare,SKU85,89.4921370322402,54,577,3996.552223,Non-binary,75,12,35,6,Carrier C,5.01596207451334,Supplier 2,Houston,29.7604,-95.3698,11,320,29,35.5857943132577,Pass,1.10108004672125,Sea,Route C,727.425206565913,3233.541222120829,2018-03-26
skincare,SKU86,47.80886739,30,475,7024.70857828279,Female,24,19,45,3,Carrier C,2.45275152630468,Supplier 4,Miami,25.7617,-80.1918,28,828,1,24.1967904991651,Pending,3.67630943202329,Air,Route A,384.186482083237,6616.325305700388,2018-03-27
cosmetics,SKU87,20.2430681151943,98,153,2787.47047946226,Non-binary,60,29,35,6,Carrier B,3.50098703285833,Supplier 2,New York,40.7128,-74.006,25,833,30,87.6499900235675,Fail,2.71786152471312,Rail,Route C,583.046514200784,2116.773975237908,2018-03-28
skincare,SKU88,15.040880591096,58,92,6317.84730676832,Female,40,2,37,3,Carrier B,12.5304452650154,Supplier 3,Los Angeles,34.0522,-118.2437,17,160,24,19.0834277525636,Fail,0.600716134,Sea,Route B,213.954215663032,6084.809663352724,2018-03-29
cosmetics,SKU89,37.1111754254539,68,328,10955.218985594,Female,68,1,14,9,Carrier A,2.45774667412351,Supplier 4,Miami,25.7617,-80.1918,28,202,13,77.0727738138972,Fail,3.99089106314921,Sea,Route C,400.556367234625,10477.58984454548,2018-03-30
haircare,SKU90,47.1109433071437,67,899,8180.22135,Female,3,8,83,1,Carrier A,7.53698343536454,Supplier 5,Houston,29.7604,-95.3698,15,284,30,88.5361736820022,Fail,0.930416658204692,Rail,Route B,161.173482570597,7930.5116937474,2018-03-31
haircare,SKU91,9.54392793744001,71,400,9293.11962594877,Non-binary,56,30,27,8,Carrier A,3.73382369650909,Supplier 4,Miami,25.7617,-80.1918,27,246,26,37.7642545286637,Fail,3.6391819132352,Air,Route A,649.286498283373,8606.068873136734,2018-04-01
skincare,SKU92,8.61207558255821,18,794,9806.553702,Unknown,30,9,24,5,Carrier A,3.27247806919016,Supplier 3,Los Angeles,34.0522,-118.2437,3,174,2,32.228903433868,Pass,4.36004426749993,Air,Route A,871.746167532428,8902.578631033703,2018-04-02
haircare,SKU93,75.8896894607746,7,408,1096.03114305546,Female,2,25,66,4,Carrier B,3.87996463183901,Supplier 5,New York,40.7128,-74.006,28,572,20,91.48575827,Pending,2.8895730492609,Air,Route A,828.59617098724,175.9492137982199,2018-04-03
haircare,SKU94,67.6083757493496,40,86,6604.67148739729,Unknown,66,27,14,1,Carrier A,7.89896108327468,Supplier 1,Houston,29.7604,-95.3698,9,100,29,10.159475618886,Pass,2.05077903585798,Road,Route A,870.473142142747,5724.038869635657,2018-04-04
cosmetics,SKU95,25.2953665264714,70,645,14683.9602686167,Male,89,8,46,9,Carrier B,4.32903789556199,Supplier 2,Houston,29.7604,-95.3698,30,515,28,87.7088982,Pending,4.98321320410655,Sea,Route A,257.139746722218,14339.11162369448,2018-04-05
skincare,SKU96,15.0099157255165,86,994,8738.69041301609,Non-binary,1,22,95,9,Carrier C,2.35426130493584,Supplier 2,New York,40.7128,-74.006,12,568,19,92.4403384851103,Pass,0.106045676232696,Rail,Route A,685.07615030334,7961.173924227639,2018-04-06
cosmetics,SKU97,31.5633719373249,65,386,10965.1154110267,Non-binary,16,17,95,5,Carrier B,12.2196121694603,Supplier 3,New York,40.7128,-74.006,19,464,6,84.072657994239,Pass,1.52170542101961,Sea,Route B,961.0678344,9919.97491863246,2018-04-07
cosmetics,SKU98,20.1925860627971,68,869,15792.6215597136,Unknown,59,9,31,9,Carrier A,8.55749964440359,Supplier 3,New York,40.7128,-74.006,18,944,11,79.1530818679893,Pass,1.393365763235,Road,Route A,804.926048114504,14908.54242973111,2018-04-08
cosmetics,SKU99,34.6298538214879,49,796,24808.8272777139,Male,73,6,61,10,Carrier B,3.19595113316001,Supplier 2,Houston,29.7604,-95.3698,16,773,17,90.5644211192948,Pass,1.78101799028959,Sea,Route C,103.051340917922,24615.21151567668,2018-04-09
cosmetics,SKU100,28.6312307974434,52,274,7060.46151464955,Male,65,28,24,9,Carrier B,7.60001788085038,Supplier 4,Miami,25.7617,-80.1918,29,116,9,84.4812581797771,Fail,3.95304664247319,Rail,Route B,894.07595039906,6081.904306070713,2018-04-10
cosmetics,SKU101,36.9160020388596,29,296,9834.42294315222,Female,87,15,26,7,Carrier B,1.95707499822073,Supplier 1,Los Angeles,34.0522,-118.2437,19,609,5,89.3412248251408,Fail,1.32131417715727,Rail,Route B,735.201864995764,9009.879853331315,2018-04-11
skincare,SKU102,97.2212459787136,21,457,2651.12096282978,Non-binary,74,23,60,8,Carrier B,9.12601809066261,Supplier 1,Houston,29.7604,-95.3698,5,854,5,45.5301789456881,Pass,1.28838554958663,Sea,Route B,209.855850328123,2395.734933555969,2018-04-12
haircare,SKU103,94.5199620189533,90,719,7825.63305730782,Male,23,24,54,1,Carrier B,5.76426747437174,Supplier 3,Chicago,41.8781,-87.6298,12,538,16,81.077025369968,Pending,2.52872025376215,Road,Route B,382.440324439038,7362.115707498814,2018-04-13
